year,country,gdp
2000,United States,10000.0
2000,China,1200.0
2000,Japan,4800.0
2000,Germany,1900.0
2000,India,480.0
2000,United Kingdom,1600.0
2000,France,1400.0
2000,Brazil,655.0
2000,Italy,1150.0
2000,Canada,740.0
2001,United States,10820.0
2001,China,1921.2
2001,Japan,4796.0
2001,Germany,2012.0
2001,India,640.8
2001,United Kingdom,1700.0
2001,France,1500.0
2001,Brazil,744.8
2001,Italy,1228.0
2001,Canada,834.4
2002,United States,11640.0
2002,China,2642.4
2002,Japan,4792.0
2002,Germany,2124.0
2002,India,801.6
2002,United Kingdom,1800.0
2002,France,1600.0
2002,Brazil,834.6
2002,Italy,1306.0
2002,Canada,928.8
2003,United States,12460.0
2003,China,3363.6
2003,Japan,4788.0
2003,Germany,2236.0
2003,India,962.4
2003,United Kingdom,1900.0
2003,France,1700.0
2003,Brazil,924.4
2003,Italy,1384.0
2003,Canada,1023.2
2004,United States,13280.0
2004,China,4084.8
2004,Japan,4784.0
2004,Germany,2348.0
2004,India,1123.2
2004,United Kingdom,2000.0
2004,France,1800.0
2004,Brazil,1014.2
2004,Italy,1462.0
2004,Canada,1117.6
2005,United States,14100.0
2005,China,4806.0
2005,Japan,4780.0
2005,Germany,2460.0
2005,India,1284.0
2005,United Kingdom,2100.0
2005,France,1900.0
2005,Brazil,1104.0
2005,Italy,1540.0
2005,Canada,1212.0
2006,United States,14920.0
2006,China,5527.2
2006,Japan,4776.0
2006,Germany,2572.0
2006,India,1444.8
2006,United Kingdom,2200.0
2006,France,2000.0
2006,Brazil,1193.8
2006,Italy,1618.0
2006,Canada,1306.4
2007,United States,15740.0
2007,China,6248.4
2007,Japan,4772.0
2007,Germany,2684.0
2007,India,1605.6
2007,United Kingdom,2300.0
2007,France,2100.0
2007,Brazil,1283.6
2007,Italy,1696.0
2007,Canada,1400.8
2008,United States,16560.0
2008,China,6969.6
2008,Japan,4768.0
2008,Germany,2796.0
2008,India,1766.4
2008,United Kingdom,2400.0
2008,France,2200.0
2008,Brazil,1373.4
2008,Italy,1774.0
2008,Canada,1495.2
2009,United States,17380.0
2009,China,7690.8
2009,Japan,4764.0
2009,Germany,2908.0
2009,India,1927.2
2009,United Kingdom,2500.0
2009,France,2300.0
2009,Brazil,1463.2
2009,Italy,1852.0
2009,Canada,1589.6
2010,United States,18200.0
2010,China,8412.0
2010,Japan,4760.0
2010,Germany,3020.0
2010,India,2088.0
2010,United Kingdom,2600.0
2010,France,2400.0
2010,Brazil,1553.0
2010,Italy,1930.0
2010,Canada,1684.0
2011,United States,19020.0
2011,China,9133.2
2011,Japan,4756.0
2011,Germany,3132.0
2011,India,2248.8
2011,United Kingdom,2700.0
2011,France,2500.0
2011,Brazil,1642.8
2011,Italy,2008.0
2011,Canada,1778.4
2012,United States,19840.0
2012,China,9854.4
2012,Japan,4752.0
2012,Germany,3244.0
2012,India,2409.6
2012,United Kingdom,2800.0
2012,France,2600.0
2012,Brazil,1732.6
2012,Italy,2086.0
2012,Canada,1872.8
2013,United States,20660.0
2013,China,10575.6
2013,Japan,4748.0
2013,Germany,3356.0
2013,India,2570.4
2013,United Kingdom,2900.0
2013,France,2700.0
2013,Brazil,1822.4
2013,Italy,2164.0
2013,Canada,1967.2
2014,United States,21480.0
2014,China,11296.8
2014,Japan,4744.0
2014,Germany,3468.0
2014,India,2731.2
2014,United Kingdom,3000.0
2014,France,2800.0
2014,Brazil,1912.2
2014,Italy,2242.0
2014,Canada,2061.6
2015,United States,22300.0
2015,China,12018.0
2015,Japan,4740.0
2015,Germany,3580.0
2015,India,2892.0
2015,United Kingdom,3100.0
2015,France,2900.0
2015,Brazil,2002.0
2015,Italy,2320.0
2015,Canada,2156.0
2016,United States,23120.0
2016,China,12739.2
2016,Japan,4736.0
2016,Germany,3692.0
2016,India,3052.8
2016,United Kingdom,3200.0
2016,France,3000.0
2016,Brazil,2091.8
2016,Italy,2398.0
2016,Canada,2250.4
2017,United States,23940.0
2017,China,13460.4
2017,Japan,4732.0
2017,Germany,3804.0
2017,India,3213.6
2017,United Kingdom,3300.0
2017,France,3100.0
2017,Brazil,2181.6
2017,Italy,2476.0
2017,Canada,2344.8
2018,United States,24760.0
2018,China,14181.6
2018,Japan,4728.0
2018,Germany,3916.0
2018,India,3374.4
2018,United Kingdom,3400.0
2018,France,3200.0
2018,Brazil,2271.4
2018,Italy,2554.0
2018,Canada,2439.2
2019,United States,25580.0
2019,China,14902.8
2019,Japan,4724.0
2019,Germany,4028.0
2019,India,3535.2
2019,United Kingdom,3500.0
2019,France,3300.0
2019,Brazil,2361.2
2019,Italy,2632.0
2019,Canada,2533.6
2020,United States,26400.0
2020,China,15624.0
2020,Japan,4720.0
2020,Germany,4140.0
2020,India,3696.0
2020,United Kingdom,3600.0
2020,France,3400.0
2020,Brazil,2451.0
2020,Italy,2710.0
2020,Canada,2628.0
2021,United States,27220.0
2021,China,16345.2
2021,Japan,4716.0
2021,Germany,4252.0
2021,India,3856.8
2021,United Kingdom,3700.0
2021,France,3500.0
2021,Brazil,2540.8
2021,Italy,2788.0
2021,Canada,2722.4
2022,United States,28040.0
2022,China,17066.4
2022,Japan,4712.0
2022,Germany,4364.0
2022,India,4017.6
2022,United Kingdom,3800.0
2022,France,3600.0
2022,Brazil,2630.6
2022,Italy,2866.0
2022,Canada,2816.8
2023,United States,28860.0
2023,China,17787.6
2023,Japan,4708.0
2023,Germany,4476.0
2023,India,4178.4
2023,United Kingdom,3900.0
2023,France,3700.0
2023,Brazil,2720.4
2023,Italy,2944.0
2023,Canada,2911.2
2024,United States,29680.0
2024,China,18508.8
2024,Japan,4704.0
2024,Germany,4588.0
2024,India,4339.2
2024,United Kingdom,4000.0
2024,France,3800.0
2024,Brazil,2810.2
2024,Italy,3022.0
2024,Canada,3005.6
2025,United States,30500.0
2025,China,19230.0
2025,Japan,4700.0
2025,Germany,4700.0
2025,India,4500.0
2025,United Kingdom,4100.0
2025,France,3900.0
2025,Brazil,2900.0
2025,Italy,3100.0
2025,Canada,3100.0
