week,complete,partial,progressive
0,0,0,0
1,-10,-5,5
2,-25,-8,12
3,-40,-12,18
4,-55,-18,25
5,-65,-25,32
6,-70,-30,38
7,-70,-35,42
8,-70,-38,45
9,-70,-40,48
10,-70,-42,50
11,-70,-43,52
12,-70,-44,53
13,-70,-46,54
14,-70,-47,55
15,-70,-48,56
16,-70,-49,57
17,-70,-50,58
18,-70,-51,59
19,-70,-52,60
20,-70,-53,60
21,-70,-54,60
22,-70,-55,60
23,-70,-56,60
24,-70,-57,60
25,-70,-58,60
26,-70,-59,60
27,-70,-60,60
28,-70,-61,60
29,-70,-62,60
30,-70,-63,60
31,-70,-64,60
32,-70,-65,60
33,-70,-66,60
34,-70,-67,60
35,-70,-68,60
36,-70,-69,60
37,-70,-70,60
38,-70,-71,60
39,-70,-72,60
40,-70,-73,60
41,-70,-74,60
42,-70,-75,60
43,-70,-76,60
44,-70,-77,60
45,-70,-78,60
46,-70,-78,60
47,-70,-78,60
48,-70,-78,60
49,-70,-78,60
50,-70,-78,60
51,-70,-78,60
52,-70,-78,60
53,-70,-78,60
54,-70,-78,60
55,-70,-79,60
56,-70,-79,60
57,-70,-79,60
58,-70,-79,60
59,-70,-80,60
60,-70,-80,60
